prospectRank,priorityType,teamId,parentTeam,division,affiliateLevel,affiliateName,firstName,lastName,age,position,currentDisplayOVR,floorDisplay,ceilingDisplay,contact,power,eye,speed,defense,durability,stuff,control,stamina,velocity,movement,workEthic,mentalToughness,leadership,competitiveness,developmentProgram,developmentTrajectory,role,scoutingNote
1,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Ari,Abarca,22,SS,45,40,75,45,45,40,55,60,45,,,,,,61,60,49,62,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,AAA,El Paso Riverstones,Hayes,Gable,27,C,45,40,50,45,45,50,35,60,50,,,,,,80,69,89,65,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,AAA,El Paso Riverstones,Ivan,Novak,26,2B,45,40,50,45,40,45,50,65,45,,,,,,91,76,45,78,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,AAA,El Paso Riverstones,Jasper,Ullman,27,LF,45,40,50,45,55,50,40,50,45,,,,,,63,83,50,91,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,AAA,El Paso Riverstones,Kai,Corvin,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,74,90,55,67,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,AA,Laredo Esplanades,Leland,Jovic,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,40,85,55,60,80,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,AA,Laredo Esplanades,Marco,Rocha,24,RF,40,35,55,40,50,45,35,45,40,,,,,,96,62,65,93,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,A_PLUS,New Braunfels Floaters,Nestor,Zeller,22,SS,35,25,55,35,30,35,40,55,35,,,,,,68,69,70,69,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,A,Seguin Spillways,Otis,Gaitan,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,79,76,75,82,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,ROOKIE,Alamo Walkers,Paolo,Noriega,19,C,25,20,50,25,25,30,20,40,30,,,,,,90,83,80,95,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,sat,San Antonio Riverwalk,NL_CENTRAL,INTERNATIONAL,Monterrey Riverwalk Academy,Ramon,Wirth,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,25,62,90,85,71,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,den,Denver Altitude,NL_CENTRAL,A_PLUS,Pueblo Highliners,Samir,Easton,21,RF,45,40,80,45,70,40,40,45,45,,,,,,76,60,48,86,power,ahead_of_curve,Top ranked prospect / potential impact regular,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around altitude-shaped offense: contact, power, and stamina; pitchers need movement and ground-ball traits."
2,Top Prospect,den,Denver Altitude,NL_CENTRAL,AA,Boulder Thin Airs,Tucker,Lark,23,SP,45,40,65,20,20,20,20,30,50,50,50,55,50,50,90,72,60,64,refinement,on_track,Impact follow prospect / everyday or rotation path,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around altitude-shaped offense: contact, power, and stamina; pitchers need movement and ground-ball traits."
3,Top Prospect,den,Denver Altitude,NL_CENTRAL,A_PLUS,Pueblo Highliners,Vito,Sato,21,C,40,35,60,40,45,40,30,60,45,,,,,,65,84,72,79,defense,on_track,Scarcity-position prospect / above-average role path,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around altitude-shaped offense: contact, power, and stamina; pitchers need movement and ground-ball traits."
4,Top Prospect,den,Denver Altitude,NL_CENTRAL,AA,Boulder Thin Airs,Weston,Albright,22,CF,40,35,60,40,45,35,50,55,40,,,,,,79,96,84,94,tools,on_track,Athletic regular upside,Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Best used as athletic regular upside.
5,Top Prospect,den,Denver Altitude,NL_CENTRAL,AAA,Colorado Springs Moonshots,Yahir,Halberg,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,50,93,66,47,72,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,den,Denver Altitude,NL_CENTRAL,A_PLUS,Pueblo Highliners,Zeke,Ortega,21,3B,35,25,60,35,60,30,30,35,35,,,,,,68,78,59,87,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,den,Denver Altitude,NL_CENTRAL,A,Fort Collins Lift,Alden,Yoon,20,SS,35,25,55,35,35,35,40,55,35,,,,,,82,90,71,65,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,den,Denver Altitude,NL_CENTRAL,A,Fort Collins Lift,Brody,Frost,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,30,96,60,83,80,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,den,Denver Altitude,NL_CENTRAL,ROOKIE,Front Range Launchers,Cade,Merritt,19,RF,30,20,60,30,45,35,25,35,30,,,,,,71,72,46,95,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,den,Denver Altitude,NL_CENTRAL,INTERNATIONAL,La Romana Altitude Academy,Dante,Torres,18,2B,30,20,60,30,30,30,35,50,30,,,,,,85,84,58,73,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,AAA,Colorado Springs Moonshots,Ezra,Briar,27,C,45,40,50,45,50,50,35,60,50,,,,,,66,83,42,66,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,AAA,Colorado Springs Moonshots,Finnian,Irizarry,26,3B,45,40,50,45,60,50,40,50,45,,,,,,77,90,47,79,fundamentals,on_track,Utility infielder / contact bench bat,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as utility infielder / contact bench bat.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,AAA,Colorado Springs Moonshots,Gianni,Pryce,27,LF,45,40,50,45,60,50,40,50,45,,,,,,88,55,52,92,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,AAA,Colorado Springs Moonshots,Holden,Yanez,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,60,62,57,68,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,AA,Boulder Thin Airs,Ismael,Fujiwara,24,CL,40,35,55,20,20,20,25,30,45,50,40,30,50,50,71,69,62,81,breaking,on_track,Middle-relief shuttle candidate,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as middle-relief shuttle candidate.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,AA,Boulder Thin Airs,Jude,Matsu,24,RF,40,35,55,40,55,45,35,45,40,,,,,,82,76,67,94,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,A_PLUS,Pueblo Highliners,Kieran,Varela,22,SS,35,25,55,35,35,35,40,55,35,,,,,,93,83,72,70,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,A,Fort Collins Lift,Leandro,Delrio,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,65,90,77,83,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,ROOKIE,Front Range Launchers,Micah,Kessler,19,C,25,20,50,25,30,30,20,40,30,,,,,,76,55,82,96,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,den,Denver Altitude,NL_CENTRAL,INTERNATIONAL,La Romana Altitude Academy,Niko,Rosales,18,SS,25,20,55,25,25,25,30,45,25,,,,,,87,62,87,72,defense,on_track,Academy middle-infield glove project,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as academy middle-infield glove project.
1,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,A,Hill Country Roost,Ozzie,Zoric,20,CF,40,35,70,40,40,35,50,55,40,,,,,,62,74,50,87,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around night-game athletes, obp, speed, bat speed, and quirky defensive versatility."
2,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,AA,Waco Echolocators,Pierce,Gomes,23,SS,45,40,65,45,45,40,55,60,45,,,,,,76,86,62,65,tools,on_track,Impact follow prospect / everyday or rotation path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around night-game athletes, obp, speed, bat speed, and quirky defensive versatility."
3,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,A_PLUS,San Marcos Cave Flyers,Rowan,Nystrom,21,SP,40,35,65,20,20,20,20,30,40,45,45,50,45,45,90,56,74,80,refinement,on_track,Scarcity-position prospect / above-average role path,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around night-game athletes, obp, speed, bat speed, and quirky defensive versatility."
4,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,AA,Waco Echolocators,Sterling,Wynn,22,3B,40,35,60,40,60,35,35,40,40,,,,,,65,68,86,95,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,AAA,Round Rock Nightwings,Tristan,Espina,25,CL,50,45,60,20,20,20,25,30,55,60,50,40,60,60,79,80,49,73,breaking,on_track,Near-ready relief or swingman option,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as near-ready relief or swingman option.
6,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,A_PLUS,San Marcos Cave Flyers,Victor,Lofton,21,1B,35,25,60,35,55,30,30,35,35,,,,,,93,92,61,88,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,A,Hill Country Roost,Wyatt,Seldon,20,2B,35,25,55,35,30,35,40,55,35,,,,,,68,62,73,66,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,A,Hill Country Roost,Xander,Ames,20,RP,30,20,60,20,20,20,25,30,30,35,25,20,50,30,82,74,85,81,velocity,on_track,Raw arm with starter traits,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as raw arm with starter traits.
9,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,ROOKIE,Congress Bridge Pups,Yosef,Huxley,19,LF,30,20,60,30,40,35,25,35,30,,,,,,96,86,48,96,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,aus,Austin Bat Colony,NL_CENTRAL,INTERNATIONAL,Merida Bat Academy,Zev,Ocampo,18,SS,30,20,60,30,25,30,35,50,30,,,,,,71,56,60,74,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,AAA,Round Rock Nightwings,Ari,Yanez,27,C,45,40,50,45,45,50,35,60,50,,,,,,91,55,44,67,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,AAA,Round Rock Nightwings,Bento,Fujiwara,26,2B,45,40,50,45,40,45,50,65,45,,,,,,63,62,49,80,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,AAA,Round Rock Nightwings,Caleb,Matsu,27,CF,45,40,50,45,40,45,50,65,45,,,,,,74,69,54,93,defense,on_track,Left-handed bench outfield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as left-handed bench outfield depth.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,AAA,Round Rock Nightwings,Dario,Varela,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,85,76,59,69,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,AA,Waco Echolocators,Elias,Delrio,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,40,96,83,64,82,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,AA,Waco Echolocators,Fynn,Kessler,24,RF,40,35,55,40,50,45,35,45,40,,,,,,68,90,69,95,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,A_PLUS,San Marcos Cave Flyers,Gideon,Rosales,22,SS,35,25,55,35,30,35,40,55,35,,,,,,79,55,74,71,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,A,Hill Country Roost,Harlan,Zoric,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,90,62,79,84,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,ROOKIE,Congress Bridge Pups,Isaak,Gomes,19,C,25,20,50,25,25,30,20,40,30,,,,,,62,69,84,60,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,aus,Austin Bat Colony,NL_CENTRAL,INTERNATIONAL,Merida Bat Academy,Jalen,Nystrom,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,25,73,76,89,73,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,AA,Pasadena Headliners,Keon,Wynn,22,LF,45,40,75,45,65,40,40,45,45,,,,,,87,88,52,88,power,ahead_of_curve,Top ranked prospect / potential impact regular,"Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Fits the org identity around star-power bats, bullpen depth, and high-visibility prospects with media polish."
2,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,AA,Pasadena Headliners,Luca,Espina,23,CF,45,40,65,45,45,40,55,60,45,,,,,,62,58,64,66,tools,on_track,Impact follow prospect / everyday or rotation path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around star-power bats, bullpen depth, and high-visibility prospects with media polish."
3,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,A_PLUS,Inland Empire Limelights,Mateo,Lofton,21,SS,40,35,60,40,40,35,50,55,40,,,,,,76,70,76,81,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around star-power bats, bullpen depth, and high-visibility prospects with media polish."
4,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,AA,Pasadena Headliners,Nolan,Seldon,22,SP,40,35,60,20,20,20,20,30,45,45,40,60,45,45,90,82,88,96,stamina,on_track,Athletic regular upside,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as athletic regular upside.
5,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,AAA,Long Beach Neon Palms,Omar,Ames,25,SP,45,40,60,20,20,20,20,30,50,50,45,65,50,50,65,94,51,74,stamina,on_track,Near-ready relief or swingman option,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as near-ready relief or swingman option.
6,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,A_PLUS,Inland Empire Limelights,Pascal,Huxley,21,LF,35,25,60,35,55,30,30,35,35,,,,,,79,64,63,89,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,A,Ventura Backlots,Quinn,Ocampo,20,CF,35,25,55,35,30,35,40,55,35,,,,,,93,76,75,67,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,A,Ventura Backlots,Rafael,Winslow,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,35,68,88,87,82,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,ROOKIE,Hollywood Stagehands,Silas,Escobar,19,1B,30,20,60,30,40,35,25,35,30,,,,,,82,58,50,60,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,lax,Los Angeles Sunset Strip,NL_WEST,INTERNATIONAL,Tijuana Sunset Academy,Theo,Lazaro,18,CF,30,20,60,30,25,30,35,50,30,,,,,,96,70,62,75,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,AAA,Long Beach Neon Palms,Ulises,Toma,27,C,45,40,50,45,45,50,35,60,50,,,,,,77,69,46,68,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,AAA,Long Beach Neon Palms,Vidal,Carden,26,2B,45,40,50,45,40,45,50,65,45,,,,,,88,76,51,81,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,AAA,Long Beach Neon Palms,Wes,Jun,27,LF,45,40,50,45,55,50,40,50,45,,,,,,60,83,56,94,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,AAA,Long Beach Neon Palms,Xavi,Quill,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,50,71,90,61,70,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,AA,Pasadena Headliners,Yael,Ybarra,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,45,82,55,66,83,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,AA,Pasadena Headliners,Zane,Farraday,24,RF,40,35,55,40,50,45,35,45,40,,,,,,93,62,71,96,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,A_PLUS,Inland Empire Limelights,Emilio,Mercado,22,SS,35,25,55,35,30,35,40,55,35,,,,,,65,69,76,72,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,A,Ventura Backlots,Tomas,Valen,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,35,76,76,81,85,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,ROOKIE,Hollywood Stagehands,Jonas,Dovek,19,C,25,20,50,25,25,30,20,40,30,,,,,,87,83,86,61,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,lax,Los Angeles Sunset Strip,NL_WEST,INTERNATIONAL,Tijuana Sunset Academy,Milo,Kepler,18,SS,25,20,55,25,20,25,30,45,25,,,,,,59,90,42,74,defense,on_track,Academy middle-infield glove project,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as academy middle-infield glove project.
1,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,AA,Oakland Crusts,Nico,Rivas,23,SP,50,45,75,20,20,20,20,30,55,60,50,60,55,65,73,60,54,89,breaking,ahead_of_curve,Top ranked pitching prospect / rotation or leverage upside,"Starter traits with enough pitch mix to stay in a rotation; breaking-ball quality is the carrying skill. Fits the org identity around run prevention, defense, command, and gap bats shaped for a pitcher-friendly park."
2,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,AA,Oakland Crusts,Soren,Zavala,23,C,45,40,65,45,45,45,35,70,50,,,,,,87,72,66,67,defense,on_track,Impact follow prospect / everyday or rotation path,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around run prevention, defense, command, and gap bats shaped for a pitcher-friendly park."
3,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,A_PLUS,San Jose Proofers,Tariq,Garnet,21,CF,40,35,60,40,40,35,50,60,40,,,,,,62,84,78,82,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around run prevention, defense, command, and gap bats shaped for a pitcher-friendly park."
4,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,AA,Oakland Crusts,Andre,Norcross,22,RF,40,35,60,40,60,35,35,45,40,,,,,,76,96,90,60,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,AAA,Sacramento Starters,Cyrus,Voss,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,55,90,66,53,75,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,A_PLUS,San Jose Proofers,Damon,Duarte,21,RF,35,25,60,35,55,30,30,40,35,,,,,,65,78,65,90,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,A,Santa Rosa Levains,Felix,Kovar,20,C,35,25,55,35,35,40,25,55,40,,,,,,79,90,77,68,fundamentals,on_track,Defense/speed development prospect,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as defense/speed development prospect.
8,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,A,Santa Rosa Levains,Gavin,Severin,20,CL,30,20,60,20,20,20,25,30,30,40,30,20,40,45,93,60,89,83,breaking,on_track,Raw arm with starter traits,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as raw arm with starter traits.
9,Top Prospect,sfb,San Francisco Sourdoughs,NL_WEST,ROOKIE,Mission Yeasts,Hugo,Bellweather,19,CF,30,20,60,30,25,30,35,55,30,,,,,,68,72,52,61,defense,bust_risk,Young bat with one loud carrying tool,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as young bat with one loud carrying tool.
